iter	Passed	Remaining
0	1	162
1	3	149
2	4	141
3	6	151
4	8	164
5	23	370
6	27	369
7	29	337
8	30	311
9	32	291
10	33	272
11	35	257
12	36	246
13	38	239
14	42	238
15	43	229
16	45	220
17	46	210
18	47	202
19	48	195
20	50	189
21	52	185
22	53	180
23	57	182
24	59	177
25	60	171
26	61	166
27	63	162
28	64	157
29	65	153
30	67	149
31	69	147
32	71	145
33	73	142
34	74	139
35	76	135
36	77	132
37	78	128
38	80	126
39	82	123
40	83	120
41	84	116
42	85	113
43	86	110
44	88	107
45	89	104
46	90	102
47	92	99
48	96	100
49	98	98
50	101	97
51	102	95
52	104	92
53	105	90
54	106	87
55	107	84
56	109	82
57	110	80
58	112	78
59	116	77
60	117	75
61	118	72
62	120	70
63	121	68
64	122	66
65	124	64
66	126	62
67	132	62
68	133	60
69	134	57
70	136	55
71	137	53
72	138	51
73	140	49
74	141	47
75	143	45
76	144	43
77	146	41
78	147	39
79	148	37
80	150	35
81	151	33
82	152	31
83	153	29
84	155	27
85	157	25
86	160	23
87	161	22
88	163	20
89	164	18
90	165	16
91	167	14
92	168	12
93	169	10
94	171	9
95	175	7
96	176	5
97	178	3
98	179	1
99	180	0
